text,label,tfidf_mean,embedding_mean,sentiment_score,sentiment_intensity
北京开车族注意：今天下午六点开始，全市高清探头全部启用，副驾驶不系安全带相同处罚，开车时打电话罚款50元，闯黄闪罚款200，越线停车罚款100， 晚六点至深夜2点，为期60天的全国交警集中查处酒驾，一经查获，一律拘役六个月，五年内不得考证。请相互转告。 ​,1,0.004702141133617403,0.00047287430300779054,0.0,0.0
"【反日，不要坑同胞】据重庆商报,网友 说:他的日产越野车停沙坪坝被""爱国青年""下螺丝,比砸车还吓人.""这些疯狂又愚蠢的傻货!!!要是车主是个毫无经验的新手未能及时发现咋办?这可真的能要人命啊!!""不仅是车主遭殃,路人也会遭殃… 【魔都人民请注意,我们有各自抵制的义务,但没有彼此损坏的权利】",1,0.003670054458321047,-0.0008579358183283158,0.0,0.0
【一图教你飞机自救逃生！】据新华网：澳大利亚一位教授研究了1983-2000年间105次坠机事件2000多名幸存者的受访记录，总结出6条自救方法：①别与家人分开；②学会解安全带；③距离逃生口近；④背朝飞行方向；⑤带上防烟口罩；⑥听乘务员讲解。紧急情况下它们能救命！扩散！,0,0.0039252213239906394,0.0012920231113049286,0.0,0.0
“这是一场不可能赢的比赛”。这是教练组、德罗巴、阿内尔卡赛后反复说的一句话。他们什么大赛没经历过，不会因为一场比赛出离愤怒。究竟是为什么？我们也不知该如何和他们解释。这是大伙玩命拼下的一分，但或许已经是最好的结果了……,0,0.003581756582477575,0.0026369135834758968,0.0058823529411764705,0.0058823529411764705
Chow Kar Hoo拍的一组“Heroes Next Door”（英雄在香港）的照片，Madam，太帅了~,0,0.001410568122426652,-0.0012063933021607043,0.0,0.0
感动，地震发生期间一位警察救起了一只压在木板下的一只大熊猫当警察准备离开时熊猫死死地抱住警察叔叔的腿。如果你感动了，请转发一下把。地震无情人有情，为雅安祈福。,1,0.006874448675526079,0.0002368135363124839,0.016666666666666666,0.016666666666666666
当一些人著书立说或强闻博记的时候，我却花了3年时间四处游荡，千方百计忘掉头脑里所学的东西。这样忘掉所学的知识，既缓慢，又困难。但这种忘记，比人们灌输给我们的所有知识都更有用，可以算得上一种开蒙。——（法）安德烈.纪德《人间食粮》,0,0.00313349557923549,-0.00028235772285938753,0.0,0.0
【什么才是标准金牛座】1、没事爱抽风，易伤人，还后悔。2、总纠结，不听劝，死倔。3、大事谨慎，小事糊涂，聪明内敛。4、爱装，装坚强，装深沉，装成熟。5、对爱的人很好，柔情似水。6、喜欢音乐，幻想浪漫，更重现实。7、心太软，志不坚。8、生气后，很恐怖！杀气啊！,0,0.0024486133054873196,-0.0008215231945180978,0.0,0.0
不计前嫌，继续溜粉，[爱你]发一张刘忻在星跳水立方比赛倒立的图，很笔直，对不咯？4月21日周日晚上22点收看江苏卫视《星跳水立方》，将会有刘忻的精彩表现，那神马VCR比我发的图还虐心，自己准备好纸巾，别怪我没有提醒,0,0.0035818362842571618,-0.002092933479981666,-0.005555555555555556,0.005555555555555556
【红色穿搭志】在这寒冷的秋冬给自己添点好运吧！[耶]来这学搭配>>>,0,0.0,-0.004835228743195233,0.0,0.0
